,gene_name,drug_name,database
64,ABL1,Osimertinib,ChEMBL
65,ABL1,Oxaliplatin,DGIdb
66,ABL1,PCI-34051,ChEMBL
67,ABL1,PD0325901,ChEMBL
68,ABL1,PD173074,ChEMBL
69,ABL1,PFI3,ChEMBL
70,ABL1,PLX-4720,ChEMBL
71,ABL1,Paclitaxel,"CTD, ChEMBL"
72,ABL1,Palbociclib,ChEMBL
73,ABL1,Pictilisib,ChEMBL
74,ABL1,Rapamycin,ChEMBL
75,ABL1,Ribociclib,ChEMBL
76,ABL1,Ruxolitinib,ChEMBL
77,ABL1,SB505124,ChEMBL
78,ABL1,Sapitinib,ChEMBL
79,ABL1,Savolitinib,ChEMBL
80,ABL1,Selumetinib,ChEMBL
81,ABL1,Sorafenib,"CTD, ChEMBL, DGIdb"
82,ABL1,Staurosporine,ChEMBL
83,ABL1,Tamoxifen,CTD
84,ABL1,Taselisib,ChEMBL
85,ABL1,Tozasertib,"ChEMBL, DGIdb"
86,ABL1,Trametinib,ChEMBL
87,ABL1,Ulixertinib,ChEMBL
88,ABL1,Uprosertib,ChEMBL
89,ABL1,VE-822,ChEMBL
90,ABL1,VE821,ChEMBL
91,ABL1,VX-11e,ChEMBL
92,ABL1,Venetoclax,"ChEMBL, DGIdb"
93,ABL1,Vincristine,"DGIdb, PharmaGKB"
94,ABL1,Vorinostat,"CTD, ChEMBL"
95,ABL1,WEHI-539,ChEMBL
96,ABL1,WZ4003,ChEMBL
97,ABL1,Wee1 Inhibitor,ChEMBL
98,ABL1,ZM447439,ChEMBL
99,ABL2,AT13148,ChEMBL
100,ABL2,AZD1208,ChEMBL
101,ABL2,AZD2014,ChEMBL
102,ABL2,AZD5363,ChEMBL
103,ABL2,AZD5438,ChEMBL
104,ABL2,AZD6482,ChEMBL
105,ABL2,AZD7762,ChEMBL
106,ABL2,AZD8055,ChEMBL
107,ABL2,AZD8186,ChEMBL
108,ABL2,Afatinib,ChEMBL
109,ABL2,Afuresertib,ChEMBL
110,ABL2,Alisertib,ChEMBL
111,ABL2,Alpelisib,ChEMBL
112,ABL2,Axitinib,ChEMBL
113,ABL2,BI-2536,ChEMBL
114,ABL2,BMS-345541,ChEMBL
115,ABL2,BMS-754807,ChEMBL
116,ABL2,Buparlisib,ChEMBL
117,ABL2,Cediranib,ChEMBL
118,ABL2,Cisplatin,CTD
119,ABL2,Crizotinib,ChEMBL
120,ABL2,Dabrafenib,ChEMBL
121,ABL2,Dactolisib,ChEMBL
122,ABL2,Dasatinib,"BioGrid, CTD"
123,ABL2,Dinaciclib,ChEMBL
124,ABL2,Doramapimod,ChEMBL
125,ABL2,Doxorubicin,CTD
126,ABL2,Erlotinib,ChEMBL
127,ABL2,Foretinib,ChEMBL
128,ABL2,GSK2578215A,ChEMBL
129,ABL2,Gefitinib,ChEMBL
130,ABL2,Ibrutinib,ChEMBL
131,ABL2,KU-55933,ChEMBL
132,ABL2,Lapatinib,ChEMBL
133,ABL2,Linsitinib,ChEMBL
134,ABL2,MK-1775,ChEMBL
135,ABL2,MK-2206,ChEMBL
136,ABL2,MK-8776,ChEMBL
137,ABL2,Nilotinib,ChEMBL
138,ABL2,OSI-027,ChEMBL
139,ABL2,Osimertinib,ChEMBL
140,ABL2,PD0325901,ChEMBL
141,ABL2,PD173074,ChEMBL
142,ABL2,PLX-4720,ChEMBL
143,ABL2,Palbociclib,ChEMBL
144,ABL2,Pictilisib,ChEMBL
145,ABL2,Rapamycin,ChEMBL
146,ABL2,Ribociclib,ChEMBL
147,ABL2,Ruxolitinib,ChEMBL
148,ABL2,SB505124,ChEMBL
149,ABL2,Sapitinib,ChEMBL
150,ABL2,Savolitinib,ChEMBL
151,ABL2,Selumetinib,ChEMBL
152,ABL2,Sorafenib,ChEMBL
153,ABL2,Staurosporine,ChEMBL
154,ABL2,Tozasertib,"ChEMBL, DGIdb"
155,ABL2,Trametinib,ChEMBL
156,ABL2,Ulixertinib,ChEMBL
157,ABL2,Uprosertib,ChEMBL
158,ACTR2,AT13148,ChEMBL
159,ACTR2,AZD1208,ChEMBL
160,ACTR2,AZD2014,ChEMBL
161,ACTR2,AZD5363,ChEMBL
162,ACTR2,AZD6482,ChEMBL
163,ACTR2,AZD7762,ChEMBL
164,ACTR2,AZD8055,ChEMBL
165,ACTR2,AZD8186,ChEMBL
166,ACTR2,Afatinib,ChEMBL
167,ACTR2,Afuresertib,ChEMBL
168,ACTR2,Alisertib,ChEMBL
169,ACTR2,Alpelisib,ChEMBL
170,ACTR2,Axitinib,ChEMBL
171,ACTR2,BI-2536,ChEMBL
172,ACTR2,BMS-754807,ChEMBL
173,ACTR2,Buparlisib,ChEMBL
174,ACTR2,Cediranib,ChEMBL
175,ACTR2,Crizotinib,ChEMBL
176,ACTR2,Dabrafenib,ChEMBL
177,ACTR2,Dactinomycin,CTD
178,ACTR2,Dactolisib,ChEMBL
179,ACTR2,Dinaciclib,ChEMBL
180,ACTR2,Erlotinib,ChEMBL
181,ACTR2,Etoposide,DGIdb
182,ACTR2,Foretinib,ChEMBL
183,ACTR2,Gefitinib,ChEMBL
184,ACTR2,Ibrutinib,ChEMBL
185,ACTR2,Lapatinib,ChEMBL
186,ACTR2,Linsitinib,ChEMBL
187,ACTR2,MK-1775,ChEMBL
188,ACTR2,MK-2206,ChEMBL
189,ACTR2,MK-8776,ChEMBL
190,ACTR2,Nilotinib,ChEMBL
191,ACTR2,OSI-027,ChEMBL
192,ACTR2,Osimertinib,ChEMBL
193,ACTR2,PD0325901,ChEMBL
194,ACTR2,Palbociclib,ChEMBL
195,ACTR2,Pictilisib,ChEMBL
196,ACTR2,Rapamycin,ChEMBL
197,ACTR2,Ribociclib,ChEMBL
198,ACTR2,Ruxolitinib,ChEMBL
199,ACTR2,Sapitinib,ChEMBL
200,ACTR2,Savolitinib,ChEMBL
201,ACTR2,Selumetinib,ChEMBL
202,ACTR2,Sorafenib,ChEMBL
203,ACTR2,Tozasertib,ChEMBL
204,ACTR2,Trametinib,ChEMBL
205,ACTR2,Ulixertinib,ChEMBL
206,ACTR2,Vincristine,CTD
207,ACVR1,AT13148,ChEMBL
208,ACVR1,AZD1208,ChEMBL
209,ACVR1,AZD1332,ChEMBL
210,ACVR1,AZD2014,ChEMBL
211,ACVR1,AZD5363,ChEMBL
212,ACVR1,AZD5438,ChEMBL
213,ACVR1,AZD6482,ChEMBL
214,ACVR1,AZD7762,ChEMBL
215,ACVR1,AZD8055,ChEMBL
216,ACVR1,AZD8186,ChEMBL
217,ACVR1,Afatinib,ChEMBL
218,ACVR1,Afuresertib,ChEMBL
219,ACVR1,Alisertib,ChEMBL
220,ACVR1,Alpelisib,ChEMBL
221,ACVR1,Axitinib,ChEMBL
222,ACVR1,BI-2536,ChEMBL
223,ACVR1,BMS-345541,ChEMBL
224,ACVR1,BMS-754807,ChEMBL
225,ACVR1,Buparlisib,ChEMBL
226,ACVR1,Cediranib,"ChEMBL, DGIdb"
227,ACVR1,Crizotinib,ChEMBL
228,ACVR1,Dabrafenib,ChEMBL
229,ACVR1,Dactolisib,"ChEMBL, DGIdb"
230,ACVR1,Dinaciclib,ChEMBL
231,ACVR1,Doramapimod,ChEMBL
232,ACVR1,Erlotinib,ChEMBL
233,ACVR1,Foretinib,ChEMBL
234,ACVR1,GSK2578215A,ChEMBL
235,ACVR1,Gefitinib,ChEMBL
236,ACVR1,Ibrutinib,ChEMBL
237,ACVR1,Lapatinib,ChEMBL
238,ACVR1,Leflunomide,CTD
239,ACVR1,Linsitinib,ChEMBL
240,ACVR1,MK-1775,ChEMBL
241,ACVR1,MK-2206,ChEMBL
242,ACVR1,MK-8776,ChEMBL
243,ACVR1,Nilotinib,ChEMBL
244,ACVR1,OSI-027,ChEMBL
245,ACVR1,Osimertinib,ChEMBL
246,ACVR1,PD0325901,ChEMBL
247,ACVR1,PD173074,ChEMBL
248,ACVR1,PLX-4720,ChEMBL
249,ACVR1,Palbociclib,ChEMBL
250,ACVR1,Pictilisib,ChEMBL
251,ACVR1,Rapamycin,ChEMBL
252,ACVR1,Ribociclib,ChEMBL
253,ACVR1,Ruxolitinib,ChEMBL
254,ACVR1,Sapitinib,ChEMBL
255,ACVR1,Savolitinib,ChEMBL
256,ACVR1,Selumetinib,ChEMBL
257,ACVR1,Sorafenib,ChEMBL
258,ACVR1,Staurosporine,ChEMBL
259,ACVR1,Temozolomide,CTD
260,ACVR1,Tozasertib,"ChEMBL, DGIdb"
261,ACVR1,Trametinib,ChEMBL
262,ACVR1,Ulixertinib,ChEMBL
263,ACVR1,Uprosertib,ChEMBL
264,ACVR1,Wee1 Inhibitor,ChEMBL
265,ACVR1,ZM447439,ChEMBL
266,ACVR1B,AT13148,ChEMBL
267,ACVR1B,AZD1208,ChEMBL
268,ACVR1B,AZD2014,ChEMBL
269,ACVR1B,AZD5363,ChEMBL
270,ACVR1B,AZD5438,ChEMBL
271,ACVR1B,AZD6482,ChEMBL
272,ACVR1B,AZD7762,ChEMBL
273,ACVR1B,AZD8055,ChEMBL
274,ACVR1B,AZD8186,ChEMBL
275,ACVR1B,Afatinib,ChEMBL
276,ACVR1B,Afuresertib,ChEMBL
277,ACVR1B,Alisertib,ChEMBL
278,ACVR1B,Alpelisib,ChEMBL
279,ACVR1B,Axitinib,ChEMBL
280,ACVR1B,BI-2536,ChEMBL
281,ACVR1B,BMS-345541,ChEMBL
282,ACVR1B,BMS-754807,ChEMBL
283,ACVR1B,Buparlisib,ChEMBL
284,ACVR1B,Camptothecin,CTD
285,ACVR1B,Cediranib,ChEMBL
286,ACVR1B,Crizotinib,ChEMBL
287,ACVR1B,Dabrafenib,ChEMBL
288,ACVR1B,Dactolisib,ChEMBL
289,ACVR1B,Dinaciclib,ChEMBL
290,ACVR1B,Doramapimod,ChEMBL
291,ACVR1B,Erlotinib,ChEMBL
292,ACVR1B,Foretinib,ChEMBL
293,ACVR1B,GSK2578215A,ChEMBL
294,ACVR1B,Gefitinib,ChEMBL
295,ACVR1B,Ibrutinib,ChEMBL
296,ACVR1B,KU-55933,ChEMBL
297,ACVR1B,Lapatinib,ChEMBL
298,ACVR1B,Leflunomide,CTD
299,ACVR1B,Linsitinib,ChEMBL
300,ACVR1B,MK-1775,ChEMBL
301,ACVR1B,MK-2206,ChEMBL
302,ACVR1B,MK-8776,ChEMBL
303,ACVR1B,Nilotinib,ChEMBL
304,ACVR1B,OSI-027,ChEMBL
305,ACVR1B,Osimertinib,ChEMBL
306,ACVR1B,PD0325901,ChEMBL
307,ACVR1B,PD173074,ChEMBL
308,ACVR1B,PLX-4720,ChEMBL
309,ACVR1B,Palbociclib,ChEMBL
310,ACVR1B,Pictilisib,ChEMBL
311,ACVR1B,Rapamycin,ChEMBL
312,ACVR1B,Ribociclib,ChEMBL
313,ACVR1B,Ruxolitinib,ChEMBL
314,ACVR1B,SB505124,ChEMBL
315,ACVR1B,Sapitinib,ChEMBL
316,ACVR1B,Selumetinib,ChEMBL
317,ACVR1B,Sorafenib,ChEMBL
318,ACVR1B,Staurosporine,ChEMBL
319,ACVR1B,Tozasertib,ChEMBL
320,ACVR1B,Trametinib,ChEMBL
321,ACVR1B,Ulixertinib,ChEMBL
322,ACVR1B,Uprosertib,ChEMBL
323,ACVR1B,Vorinostat,CTD
324,ACVR1C,Cisplatin,CTD
325,ACVR2A,AZD6482,ChEMBL
326,ACVR2A,Afatinib,ChEMBL
327,ACVR2A,Axitinib,ChEMBL
328,ACVR2A,BI-2536,ChEMBL
329,ACVR2A,BMS-345541,ChEMBL
330,ACVR2A,Cediranib,ChEMBL
331,ACVR2A,Cisplatin,CTD
332,ACVR2A,Crizotinib,ChEMBL
333,ACVR2A,Doramapimod,ChEMBL
334,ACVR2A,Doxorubicin,CTD
335,ACVR2A,Erlotinib,ChEMBL
336,ACVR2A,Foretinib,ChEMBL
337,ACVR2A,GSK2578215A,ChEMBL
338,ACVR2A,Gefitinib,ChEMBL
339,ACVR2A,Lapatinib,ChEMBL
340,ACVR2A,Nilotinib,ChEMBL
341,ACVR2A,PD0325901,ChEMBL
342,ACVR2A,PD173074,ChEMBL
343,ACVR2A,PLX-4720,ChEMBL
344,ACVR2A,Palbociclib,ChEMBL
345,ACVR2A,Pictilisib,ChEMBL
346,ACVR2A,Ruxolitinib,ChEMBL
347,ACVR2A,Selumetinib,ChEMBL
348,ACVR2A,Sorafenib,ChEMBL
349,ACVR2A,Staurosporine,ChEMBL
350,ACVR2A,Tozasertib,ChEMBL
351,ACVR2B,AT13148,ChEMBL
352,ACVR2B,AZD1208,ChEMBL
353,ACVR2B,AZD2014,ChEMBL
354,ACVR2B,AZD5363,ChEMBL
355,ACVR2B,AZD5438,ChEMBL
356,ACVR2B,AZD6482,ChEMBL
357,ACVR2B,AZD7762,ChEMBL
358,ACVR2B,AZD8055,ChEMBL
359,ACVR2B,AZD8186,ChEMBL
360,ACVR2B,Afatinib,ChEMBL
361,ACVR2B,Afuresertib,ChEMBL
362,ACVR2B,Alisertib,ChEMBL
363,ACVR2B,Axitinib,ChEMBL
364,ACVR2B,BI-2536,ChEMBL
365,ACVR2B,BMS-345541,ChEMBL
366,ACVR2B,BMS-754807,ChEMBL
367,ACVR2B,Buparlisib,ChEMBL
368,ACVR2B,Cediranib,ChEMBL
369,ACVR2B,Cisplatin,CTD
370,ACVR2B,Crizotinib,ChEMBL
371,ACVR2B,Dabrafenib,ChEMBL
372,ACVR2B,Dactolisib,ChEMBL
373,ACVR2B,Dinaciclib,ChEMBL
374,ACVR2B,Doramapimod,ChEMBL
375,ACVR2B,Erlotinib,ChEMBL
376,ACVR2B,Foretinib,ChEMBL
377,ACVR2B,GSK1904529A,ChEMBL
378,ACVR2B,GSK2578215A,ChEMBL
379,ACVR2B,Gefitinib,ChEMBL
380,ACVR2B,Ibrutinib,ChEMBL
381,ACVR2B,Lapatinib,ChEMBL
382,ACVR2B,Linsitinib,ChEMBL
383,ACVR2B,MK-1775,ChEMBL
384,ACVR2B,MK-2206,ChEMBL
385,ACVR2B,MK-8776,ChEMBL
386,ACVR2B,Nilotinib,ChEMBL
387,ACVR2B,OSI-027,ChEMBL
388,ACVR2B,Osimertinib,ChEMBL
389,ACVR2B,PD0325901,ChEMBL
390,ACVR2B,PD173074,ChEMBL
391,ACVR2B,PLX-4720,ChEMBL
392,ACVR2B,Palbociclib,ChEMBL
393,ACVR2B,Pictilisib,ChEMBL
394,ACVR2B,Rapamycin,ChEMBL
395,ACVR2B,Ribociclib,ChEMBL
396,ACVR2B,Ruxolitinib,ChEMBL
397,ACVR2B,Sapitinib,ChEMBL
398,ACVR2B,Savolitinib,ChEMBL
399,ACVR2B,Selumetinib,ChEMBL
400,ACVR2B,Sorafenib,ChEMBL
401,ACVR2B,Staurosporine,ChEMBL
402,ACVR2B,Tozasertib,ChEMBL
403,ACVR2B,Trametinib,ChEMBL
404,ACVR2B,Ulixertinib,ChEMBL
405,ACVR2B,Uprosertib,ChEMBL
406,ACVR2B,Vorinostat,CTD
407,ACVRL1,AZD2014,ChEMBL
408,ACVRL1,AZD6482,ChEMBL
409,ACVRL1,AZD7762,ChEMBL
410,ACVRL1,Afatinib,ChEMBL
411,ACVRL1,Axitinib,ChEMBL
412,ACVRL1,BI-2536,ChEMBL
413,ACVRL1,BMS-345541,ChEMBL
414,ACVRL1,Cediranib,ChEMBL
415,ACVRL1,Crizotinib,ChEMBL
416,ACVRL1,Dabrafenib,ChEMBL
417,ACVRL1,Doramapimod,ChEMBL
418,ACVRL1,Erlotinib,ChEMBL
419,ACVRL1,Foretinib,ChEMBL
420,ACVRL1,GSK2578215A,ChEMBL
421,ACVRL1,Gefitinib,ChEMBL
422,ACVRL1,Lapatinib,ChEMBL
423,ACVRL1,Linsitinib,ChEMBL
424,ACVRL1,Nilotinib,ChEMBL
425,ACVRL1,PD0325901,ChEMBL
426,ACVRL1,PD173074,ChEMBL
427,ACVRL1,PLX-4720,ChEMBL
428,ACVRL1,Palbociclib,ChEMBL
429,ACVRL1,Pictilisib,ChEMBL
430,ACVRL1,Rapamycin,ChEMBL
431,ACVRL1,Ruxolitinib,ChEMBL
432,ACVRL1,Selumetinib,ChEMBL
433,ACVRL1,Sorafenib,ChEMBL
434,ACVRL1,Staurosporine,ChEMBL
435,ACVRL1,Tozasertib,ChEMBL
436,ACVRL1,Trametinib,ChEMBL
437,ADAM17,Bortezomib,ChEMBL
438,ADAM17,Gemcitabine,CTD
439,ADAMTS15,Cisplatin,CTD
440,ADAMTS15,Vorinostat,CTD
441,ADAMTS18,Fulvestrant,CTD
442,ADAMTS18,Sorafenib,"DGIdb, PharmaGKB"
443,ADAMTSL3,Doxorubicin,CTD
444,ADCK1,AT13148,ChEMBL
445,ADCK1,AZD1208,ChEMBL
446,ADCK1,AZD2014,ChEMBL
447,ADCK1,AZD5363,ChEMBL
448,ADCK1,AZD5438,ChEMBL
449,ADCK1,AZD6482,ChEMBL
450,ADCK1,AZD7762,ChEMBL
451,ADCK1,AZD8055,ChEMBL
452,ADCK1,AZD8186,ChEMBL
453,ADCK1,Afatinib,ChEMBL
454,ADCK1,Afuresertib,ChEMBL
455,ADCK1,Alisertib,ChEMBL
456,ADCK1,Alpelisib,ChEMBL
457,ADCK1,Axitinib,ChEMBL
458,ADCK1,BI-2536,ChEMBL
459,ADCK1,BMS-754807,ChEMBL
460,ADCK1,Buparlisib,ChEMBL
461,ADCK1,Cediranib,ChEMBL
462,ADCK1,Crizotinib,ChEMBL
463,ADCK1,Dabrafenib,ChEMBL
464,ADCK1,Dactolisib,ChEMBL
465,ADCK1,Dinaciclib,ChEMBL
466,ADCK1,Doxorubicin,CTD
467,ADCK1,Erlotinib,ChEMBL
468,ADCK1,Foretinib,ChEMBL
469,ADCK1,Gefitinib,ChEMBL
470,ADCK1,Ibrutinib,ChEMBL
471,ADCK1,Lapatinib,ChEMBL
472,ADCK1,Linsitinib,ChEMBL
473,ADCK1,MK-1775,ChEMBL
474,ADCK1,MK-2206,ChEMBL
475,ADCK1,MK-8776,ChEMBL
476,ADCK1,Nilotinib,ChEMBL
477,ADCK1,OSI-027,ChEMBL
478,ADCK1,Osimertinib,ChEMBL
479,ADCK1,PD0325901,ChEMBL
480,ADCK1,Palbociclib,ChEMBL
481,ADCK1,Pictilisib,ChEMBL
482,ADCK1,Rapamycin,ChEMBL
483,ADCK1,Ribociclib,ChEMBL
484,ADCK1,Ruxolitinib,ChEMBL
485,ADCK1,Sapitinib,ChEMBL
486,ADCK1,Savolitinib,ChEMBL
487,ADCK1,Selumetinib,ChEMBL
488,ADCK1,Sorafenib,ChEMBL
489,ADCK1,Tozasertib,ChEMBL
490,ADCK1,Trametinib,ChEMBL
491,ADCK1,Ulixertinib,ChEMBL
492,ADCK1,Uprosertib,ChEMBL
493,ADCK2,Cisplatin,CTD
494,ADCK2,Doxorubicin,CTD
495,ADCK5,AZD1208,ChEMBL
496,ADCK5,AZD2014,ChEMBL
497,ADCK5,AZD6482,ChEMBL
498,ADCK5,AZD7762,ChEMBL
499,ADCK5,Afatinib,ChEMBL
500,ADCK5,Alisertib,ChEMBL
501,ADCK5,BI-2536,ChEMBL
502,ADCK5,Cediranib,ChEMBL
503,ADCK5,Cisplatin,CTD
504,ADCK5,Crizotinib,ChEMBL
505,ADCK5,Dabrafenib,ChEMBL
506,ADCK5,Dactolisib,ChEMBL
507,ADCK5,Dinaciclib,ChEMBL
508,ADCK5,Erlotinib,ChEMBL
509,ADCK5,Foretinib,ChEMBL
510,ADCK5,Gefitinib,ChEMBL
511,ADCK5,Lapatinib,ChEMBL
512,ADCK5,Linsitinib,ChEMBL
513,ADCK5,MK-1775,ChEMBL
514,ADCK5,PD0325901,ChEMBL
515,ADCK5,Palbociclib,ChEMBL
516,ADCK5,Pictilisib,ChEMBL
517,ADCK5,Rapamycin,ChEMBL
518,ADCK5,Ribociclib,ChEMBL
519,ADCK5,Sapitinib,ChEMBL
520,ADCK5,Tozasertib,ChEMBL
521,ADCK5,Trametinib,ChEMBL
522,ADCK5,Ulixertinib,ChEMBL
523,ADORA1,5-Fluorouracil,ChEMBL
524,ADORA1,Afatinib,ChEMBL
525,ADORA1,Axitinib,ChEMBL
526,ADORA1,Bicalutamide,ChEMBL
527,ADORA1,Bortezomib,ChEMBL
528,ADORA1,Camptothecin,ChEMBL
529,ADORA1,Carmustine,ChEMBL
530,ADORA1,Cisplatin,ChEMBL
531,ADORA1,Crizotinib,ChEMBL
532,ADORA1,Cyclophosphamide,ChEMBL
533,ADORA1,Cytarabine,ChEMBL
534,ADORA1,Dactinomycin,ChEMBL
535,ADORA1,Docetaxel,ChEMBL
536,ADORA1,Doxorubicin,"CTD, ChEMBL"
537,ADORA1,Epirubicin,ChEMBL
538,ADORA1,Erlotinib,ChEMBL
539,ADORA1,Etoposide,ChEMBL
540,ADORA1,Fludarabine,ChEMBL
541,ADORA1,Fulvestrant,"CTD, ChEMBL"
542,ADORA1,Gefitinib,"CTD, ChEMBL"
543,ADORA1,Gemcitabine,ChEMBL
544,ADORA1,Irinotecan,ChEMBL
545,ADORA1,Leflunomide,ChEMBL
546,ADORA1,Mitoxantrone,ChEMBL
547,ADORA1,Nilotinib,ChEMBL
548,ADORA1,Niraparib,ChEMBL
549,ADORA1,OF-1,ChEMBL
550,ADORA1,Olaparib,ChEMBL
551,ADORA1,Osimertinib,ChEMBL
552,ADORA1,Oxaliplatin,ChEMBL
553,ADORA1,Paclitaxel,ChEMBL
554,ADORA1,Palbociclib,ChEMBL
555,ADORA1,Podophyllotoxin bromide,ChEMBL
556,ADORA1,Rapamycin,ChEMBL
557,ADORA1,Sorafenib,ChEMBL
558,ADORA1,Tamoxifen,ChEMBL
559,ADORA1,Temozolomide,ChEMBL
560,ADORA1,Topotecan,ChEMBL
561,ADORA1,Vinblastine,ChEMBL
562,ADORA1,Vincristine,ChEMBL
563,ADORA1,Vinorelbine,ChEMBL
564,ADORA1,Vorinostat,ChEMBL
565,AGK,Bortezomib,CTD
566,AGK,Doxorubicin,CTD
567,AGK,Fulvestrant,CTD
568,AIFM1,Bortezomib,CTD
569,AIFM1,Cisplatin,CTD
570,AIFM1,Dactinomycin,CTD
571,AIFM1,Dasatinib,CTD
572,AIFM1,Doxorubicin,CTD
573,AIFM1,Fulvestrant,CTD
574,AIFM1,Paclitaxel,CTD
575,AIFM1,Sorafenib,CTD
576,AIFM1,Vorinostat,CTD
577,AIFM2,Bortezomib,CTD
578,AIFM2,Cisplatin,CTD
579,AIFM2,Dactinomycin,CTD
580,AIFM2,Fulvestrant,CTD
581,AIMP2,Doxorubicin,CTD
582,AIMP2,Fulvestrant,CTD
583,AIMP2,Temozolomide,CTD
584,AIP,Doxorubicin,CTD
585,AIP,Temozolomide,CTD
586,AKT1,AT13148,ChEMBL
587,AKT1,AZD1208,ChEMBL
588,AKT1,AZD2014,ChEMBL
589,AKT1,AZD4547,CTD
590,AKT1,AZD5363,ChEMBL
591,AKT1,AZD5438,ChEMBL
592,AKT1,AZD6482,ChEMBL
593,AKT1,AZD7762,ChEMBL
594,AKT1,AZD8055,ChEMBL
595,AKT1,AZD8186,"CTD, ChEMBL"
596,AKT1,Afatinib,"CTD, ChEMBL"
597,AKT1,Afuresertib,"ChEMBL, DGIdb"
598,AKT1,Alisertib,ChEMBL
599,AKT1,Alpelisib,ChEMBL
600,AKT1,Axitinib,ChEMBL
601,AKT1,BI-2536,ChEMBL
602,AKT1,BMS-345541,ChEMBL
603,AKT1,BMS-536924,ChEMBL
604,AKT1,BMS-754807,"ChEMBL, DGIdb"
605,AKT1,Bortezomib,CTD
606,AKT1,Buparlisib,ChEMBL
607,AKT1,Camptothecin,CTD
608,AKT1,Carmustine,CTD
609,AKT1,Cediranib,ChEMBL
610,AKT1,Cisplatin,"CTD, PharmaGKB"
611,AKT1,Crizotinib,"CTD, ChEMBL"
612,AKT1,Dabrafenib,"ChEMBL, DGIdb"
613,AKT1,Dactinomycin,CTD
614,AKT1,Dactolisib,ChEMBL
615,AKT1,Dasatinib,CTD
616,AKT1,Dinaciclib,ChEMBL
617,AKT1,Docetaxel,"CTD, ChEMBL"
618,AKT1,Doramapimod,ChEMBL
619,AKT1,Doxorubicin,"CTD, ChEMBL"
620,AKT1,Erlotinib,ChEMBL
621,AKT1,Etoposide,CTD
622,AKT1,Foretinib,ChEMBL
623,AKT1,Fulvestrant,CTD
624,AKT1,GSK1904529A,ChEMBL
625,AKT1,GSK2578215A,ChEMBL
626,AKT1,GSK269962A,ChEMBL
627,AKT1,Gefitinib,"CTD, ChEMBL"
628,AKT1,Gemcitabine,CTD
629,AKT1,Ibrutinib,ChEMBL
630,AKT1,Ipatasertib,"ChEMBL, DGIdb"
631,AKT1,KU-55933,ChEMBL
632,AKT1,LY2109761,ChEMBL
633,AKT1,Lapatinib,"CTD, ChEMBL"
634,AKT1,Linsitinib,ChEMBL
635,AKT1,MK-1775,ChEMBL
636,AKT1,MK-2206,"ChEMBL, DGIdb"
637,AKT1,MK-8776,ChEMBL
638,AKT1,Mitoxantrone,ChEMBL
